feature,importance,signed_value
meta_top_cast_김희원,1.6276110076715449,-1.6276110076715449
meta_is_summer_peak,1.2307367700449725,1.2307367700449725
title_word_count,0.9227030612410372,0.9227030612410372
meta_cast_mean_frequency,0.9131061340762591,0.9131061340762591
title_length_no_space,0.8729414270793184,-0.8729414270793184
title_keyword_love,0.7708329292854421,-0.7708329292854421
meta_log_tmdb_budget,0.7444352283065038,0.7444352283065038
genre_판타지,0.7431312508157056,-0.7431312508157056
meta_open_year,0.7233620102798719,-0.7233620102798719
meta_top_cast_유해진,0.6991815229239414,0.6991815229239414
genre_코미디,0.6930007065790518,0.6930007065790518
title_has_series_keyword,0.6718242514363092,-0.6718242514363092
meta_tmdb_runtime,0.651633515646679,0.651633515646679
poster_contrast,0.6413782576003627,-0.6413782576003627
meta_top_cast_이병헌,0.6171408312584482,0.6171408312584482
title_has_english,0.6158150159481215,-0.6158150159481215
meta_top_director_김태균,0.6029618540270596,-0.6029618540270596
meta_season_fall,0.5990698417391136,0.5990698417391136
meta_top_director_김용화,0.5887667855372422,0.5887667855372422
meta_director_mean_frequency,0.5845566597076141,0.5845566597076141
meta_top_cast_강동원,0.5722645139620575,0.5722645139620575
meta_top_cast_조진웅,0.5654838066317128,0.5654838066317128
genre_액션,0.5505304346051118,0.5505304346051118
poster_green_mean,0.5408168072328998,0.5408168072328998
title_keyword_fantasy,0.5375072480588634,0.5375072480588634
meta_production_company_max_frequency,0.5223407525179051,0.5223407525179051
meta_top_cast_유승목,0.5194255726999251,0.5194255726999251
meta_top_cast_이성민,0.5113319313280527,-0.5113319313280527
meta_top_director_최동훈,0.489803449799635,-0.489803449799635
meta_top_cast_김상호,0.4823374502437691,-0.4823374502437691
meta_top_director_원신연,0.48209171629788516,-0.48209171629788516
meta_top_director_이한,0.4748853657747176,-0.4748853657747176
meta_top_director_김병우,0.4710958361259263,0.4710958361259263
genre_스릴러,0.46855833188445545,-0.46855833188445545
title_keyword_youth,0.46346801366496243,0.46346801366496243
title_keyword_horror,0.4564759609938814,-0.4564759609938814
meta_top_director_김한민,0.42675791666517987,0.42675791666517987
meta_top_cast_윤제문,0.4195184718082063,-0.4195184718082063
meta_open_month,0.41283872858944415,-0.41283872858944415
title_length,0.3844271352114207,-0.3844271352114207
meta_top_director_김지운,0.3841549714982739,-0.3841549714982739
meta_top_director_박희곤,0.38356661474003284,-0.38356661474003284
meta_open_quarter,0.3803892277935673,-0.3803892277935673
meta_top_director_정범식,0.35832041896952993,-0.35832041896952993
meta_director_count,0.35227948362213435,0.35227948362213435
title_has_digit,0.33756261690936384,-0.33756261690936384
meta_cast_count,0.33585019888096734,-0.33585019888096734
poster_blue_mean,0.3319287660368208,-0.3319287660368208
meta_top_cast_황정민,0.33011944684406774,-0.33011944684406774
genre_공포,0.32914481269810514,-0.32914481269810514
title_has_emotion_genre_keyword,0.32675046552454884,-0.32675046552454884
meta_top_director_양우석,0.3267161872027961,0.3267161872027961
meta_season_spring,0.32527070716770407,-0.32527070716770407
meta_top_cast_박희순,0.32137080265231577,-0.32137080265231577
meta_top_cast_류준열,0.3157417815057873,0.3157417815057873
poster_height,0.30635627338437316,0.30635627338437316
genre_모험,0.2996247547318582,-0.2996247547318582
meta_top_cast_하정우,0.29536454502251897,-0.29536454502251897
meta_top_cast_박해준,0.2927085795359835,-0.2927085795359835
meta_top_cast_주진모,0.290612570497678,-0.290612570497678
meta_top_director_김성훈,0.2875914709969832,-0.2875914709969832
meta_top_cast_이선균,0.2856640543131092,0.2856640543131092
meta_top_director_윤제균,0.2843181857036161,0.2843181857036161
meta_top_cast_오달수,0.28397228276848646,0.28397228276848646
genre_미스터리,0.2784487403708128,0.2784487403708128
title_keyword_crime,0.2748918618398447,0.2748918618398447
poster_brightness_mean,0.2609822005119701,0.2609822005119701
meta_is_year_end,0.25277144645991056,-0.25277144645991056
meta_top_cast_박성웅,0.24619713365773782,0.24619713365773782
meta_top_cast_정만식,0.23739826117403823,-0.23739826117403823
meta_tmdb_release_year,0.23252339974278352,-0.23252339974278352
meta_is_winter_peak,0.2273466857377619,0.2273466857377619
meta_top_cast_권해효,0.22719511613126545,0.22719511613126545
meta_top_cast_김윤석,0.2224273162153642,0.2224273162153642
meta_top_cast_박정민,0.21934498667856958,-0.21934498667856958
meta_top_director_허진호,0.2174407988817334,-0.2174407988817334
meta_top_cast_배성우,0.2142475303314303,0.2142475303314303
meta_top_director_김홍선,0.2132587616644067,-0.2132587616644067
meta_season_winter,0.20940171462323326,-0.20940171462323326
meta_top_director_곽경택,0.20793641991533926,0.20793641991533926
meta_top_director_이준익,0.20099511375629006,-0.20099511375629006
genre_가족,0.19920788219960192,-0.19920788219960192
title_keyword_family,0.1908105188760437,-0.1908105188760437
genre_다큐멘터리,0.18855396659076243,0.18855396659076243
genre_로맨스,0.18599531225969626,-0.18599531225969626
poster_saturation_mean,0.1843743473358414,-0.1843743473358414
meta_top_cast_김홍파,0.18388552993710303,0.18388552993710303
poster_width,0.17972323451293107,0.17972323451293107
genre_SF,0.1793349754756451,-0.1793349754756451
meta_top_cast_이희준,0.17861194216890064,-0.17861194216890064
title_has_special_char,0.1758108385698706,-0.1758108385698706
title_keyword_war,0.17365000872245204,0.17365000872245204
meta_top_director_박훈정,0.17058837125273443,0.17058837125273443
meta_top_cast_이경영,0.17002416953926244,-0.17002416953926244
meta_top_cast_정인기,0.16716329022118587,0.16716329022118587
meta_top_cast_장영남,0.1633318619548259,0.1633318619548259
meta_director_max_frequency,0.15506699461005474,0.15506699461005474
meta_top_cast_신정근,0.15363358705566363,0.15363358705566363
meta_top_cast_김원해,0.15181004422414024,0.15181004422414024
meta_top_director_김성수,0.1506506539603838,-0.1506506539603838
meta_top_cast_마동석,0.14796042369743262,-0.14796042369743262
meta_top_director_민규동,0.14172712286716166,-0.14172712286716166
meta_top_cast_염혜란,0.1378360439517628,-0.1378360439517628
meta_top_cast_이한위,0.13687901181441406,-0.13687901181441406
meta_top_director_박찬욱,0.1315681966663074,-0.1315681966663074
genre_역사,0.12620544059194055,0.12620544059194055
meta_top_director_유하,0.1247008282899316,-0.1247008282899316
meta_cast_max_frequency,0.11781077009942358,-0.11781077009942358
meta_production_company_count,0.11242808473507213,0.11242808473507213
meta_top_cast_송강호,0.11043584607016814,-0.11043584607016814
meta_top_cast_라미란,0.10926099901052226,-0.10926099901052226
meta_top_cast_김민재,0.09296794304783743,0.09296794304783743
meta_tmdb_budget,0.0859725263347505,0.0859725263347505
meta_top_cast_김성균,0.08472906550297504,-0.08472906550297504
meta_top_director_우민호,0.08442237551887727,0.08442237551887727
meta_top_cast_송영창,0.08064921037779867,0.08064921037779867
meta_production_company_mean_frequency,0.0772453209019732,-0.0772453209019732
meta_season_summer,0.0708062470820801,-0.0708062470820801
meta_top_cast_이준혁,0.07049621224415487,-0.07049621224415487
meta_top_cast_정우성,0.06965486143994973,-0.06965486143994973
genre_전쟁,0.0695623481574355,-0.0695623481574355
meta_top_cast_정진영,0.06940749512364866,0.06940749512364866
meta_top_cast_김종수,0.0667502448165661,-0.0667502448165661
meta_top_cast_김의성,0.0661995789914861,-0.0661995789914861
meta_top_cast_고창석,0.059187508157438846,-0.059187508157438846
poster_red_mean,0.057570077650270286,-0.057570077650270286
meta_genre_count,0.057471887771670435,0.057471887771670435
meta_top_cast_성동일,0.05562042808454373,-0.05562042808454373
genre_드라마,0.052742380223429614,0.052742380223429614
genre_음악,0.049528313283916624,0.049528313283916624
genre_애니메이션,0.049348825309891244,-0.049348825309891244
meta_top_cast_곽도원,0.04777236797638252,0.04777236797638252
meta_top_director_류승완,0.04527654091707483,0.04527654091707483
meta_top_director_봉준호,0.04071977424231565,0.04071977424231565
genre_범죄,0.039801171258178024,0.039801171258178024
meta_top_cast_조한철,0.03891709737489019,-0.03891709737489019
meta_top_director_나홍진,0.03408302410834685,0.03408302410834685
meta_top_director_강우석,0.03155985279776092,-0.03155985279776092
poster_edge_density,0.029121481788460742,0.029121481788460742
genre_서부,0.028155204226304572,0.028155204226304572
poster_aspect_ratio,0.02782603212604944,0.02782603212604944
meta_top_cast_설경구,0.02335514164231913,-0.02335514164231913
meta_top_cast_조우진,0.02136626903170813,-0.02136626903170813
meta_top_director_박진표,0.02066531534478636,0.02066531534478636
meta_top_director_김지훈,0.00646867732659447,0.00646867732659447
meta_top_director_연상호,0.0062295714498440125,0.0062295714498440125
title_keyword_action,0.005752215387047239,-0.005752215387047239
meta_top_cast_류승룡,0.0012535590615833795,-0.0012535590615833795
title_keyword_comedy,0.0,0.0
poster_available,0.0,0.0
