experiment,model,target,n_rows,n_train,n_test,n_features,mae,rmse,r2,rmsle
metadata,linear_regression,target_log_audience,654,523,131,122,1588073.4107299335,2759888.350075729,-0.1863994520214347,1.2104801151423024
metadata,ridge,target_log_audience,654,523,131,122,1588088.3754582116,2759729.9182218807,-0.18626324501179514,1.2086696981789404
metadata,lasso,target_log_audience,654,523,131,122,1588273.032344049,2752610.263100576,-0.1801504071180553,1.2024998537211555
metadata,random_forest_regressor,target_log_audience,654,523,131,122,1297668.6732487187,2280436.537583057,0.19000210099338644,1.083020544024985
metadata_title,linear_regression,target_log_audience,654,523,131,139,1513581.1726099923,2612975.9181994395,-0.06345403962002671,1.2015432748085004
metadata_title,ridge,target_log_audience,654,523,131,139,1512358.5417274283,2613697.8288986576,-0.06404174109582383,1.199153409507936
metadata_title,lasso,target_log_audience,654,523,131,139,1513177.6853247213,2610927.7389240526,-0.06178751767421775,1.1906547487906196
metadata_title,random_forest_regressor,target_log_audience,654,523,131,139,1291754.7397983326,2283184.5124137886,0.18804879520875628,1.0771117605986813
metadata_poster,linear_regression,target_log_audience,654,523,131,133,1629069.5233662887,2991365.4528311407,-0.3937563476340469,1.2020096720620137
metadata_poster,ridge,target_log_audience,654,523,131,133,1630807.9562735134,2966484.363782383,-0.37066725596659134,1.2136987376852286
metadata_poster,lasso,target_log_audience,654,523,131,133,1611696.4588416119,2925569.5276103155,-0.3331185099417837,1.2070778955020962
metadata_poster,random_forest_regressor,target_log_audience,654,523,131,133,1310636.460801044,2309114.93809245,0.16950119369976369,1.071928603998322
all,linear_regression,target_log_audience,654,523,131,150,1507482.9611325709,2660248.6310778474,-0.10228111710415977,1.2128503527851338
all,ridge,target_log_audience,654,523,131,150,1504309.2401034732,2643935.7404692424,-0.08880398620988594,1.2198480348796858
all,lasso,target_log_audience,654,523,131,150,1498695.533263627,2629295.097721837,-0.0767789930647329,1.2093359307093534
all,random_forest_regressor,target_log_audience,654,523,131,150,1311640.1384516,2317309.5441537574,0.16359617239236568,1.0722261335385685
